step,wall_time,tag,type,value
39,1745207343.460623,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.01909819431602955
40,1745208209.3656695,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.019574441015720367
41,1745209076.0213778,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.01922902837395668
42,1745209942.7679832,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.017636489123106003
43,1745210815.3866746,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.022413820028305054
44,1745211689.170799,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02175608091056347
45,1745212555.2646496,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.022481771185994148
46,1745213417.3604093,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.019946863874793053
47,1745214282.566908,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02722354792058468
48,1745215148.0734334,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.027476048097014427
49,1745216019.672693,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.024621352553367615
50,1745216894.0834527,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.019271748140454292
51,1745217756.6059356,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.023327406495809555
52,1745218620.6405582,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02690178155899048
53,1745219494.3723285,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02149067632853985
54,1745220361.1484053,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02547489106655121
55,1745221224.405283,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02104206383228302
56,1745222085.8661618,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.025845516473054886
57,1745222948.8965702,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.018292976543307304
58,1745223809.5725768,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02617047168314457
59,1745224668.2987676,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.023119976744055748
60,1745225543.683255,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02246244251728058
61,1745226401.924462,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.02900087460875511
62,1745227259.5801582,Train/activations/ResidualBlock0_1stConvBlock_forward/std,scalar,0.023966751992702484
0,1745171235.4652183,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.8693684339523315
1,1745172296.8383346,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.7354757785797119
2,1745173338.1095982,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.7958071231842041
3,1745174233.1131687,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5488083362579346
4,1745175273.5478344,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.5405851602554321
5,1745176165.799445,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.7462244629859924
6,1745177057.4248958,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6295358538627625
7,1745178097.8277802,Train/activations/ResidualBlock0_1stConvBlock_forward/max,scalar,0.6513260006904602
